route,direction,hl_size,alpha,lr_init,MAE_cv
44B_61,2,"(60,)",0.4,0.05,186.7961014
25D_275,2,"(90,)",0.7,0.07,535.1374158
33X_49,2,"(110,)",0.8,0.07,297.6001814
67X_46,2,"(110,)",0.6,0.06,466.4045235
33X_46,1,"(90,)",0.6,0.07,256.0128793
142_12,2,"(130,)",0.4,0.06,367.8267611
7B_91,1,"(120,)",0.7,0.07,306.533105
39X_1,1,"(90,)",0.7,0.07,464.1445409
161_50,1,"(90,)",0.4,0.03,238.1425119
142_13,1,"(130,)",0.4,0.07,344.9192086
39X_3,2,"(100,)",0.6,0.07,458.4810119
25D_277,1,"(100,)",0.4,0.07,380.6369687
161_51,2,"(130,)",0.8,0.01,240.8062809
68A_86,1,"(60,)",0.6,0.05,270.3900643
67X_43,1,"(130,)",0.8,0.07,534.4949332
76A_28,1,"(110,)",0.6,0.05,594.3030912
31B_46,2,"(120,)",0.8,0.07,362.1698336
76A_29,2,"(70,)",0.6,0.05,495.1145876
31B_44,1,"(100,)",0.4,0.04,370.5938779
236_9,1,"(80,)",0.4,0.07,168.7348827
16C_28,2,"(90,)",0.4,0.06,204.9512341
40E_91,2,"(100,)",0.5,0.05,174.5475368
40E_90,1,"(120,)",0.4,0.04,214.1601656
68A_87,2,"(120,)",0.4,0.05,383.6165859
66X_102,2,"(90,)",0.7,0.07,449.4000994
66X_92,1,"(100,)",0.7,0.07,514.8726574
236_10,2,"(100,)",0.8,0.03,214.1279783
14C_18,2,"(120,)",0.4,0.07,214.0812543
41X_125,2,"(80,)",0.6,0.07,314.0947557
51D_51,2,"(120,)",0.4,0.06,457.8794685
16C_29,1,"(130,)",0.6,0.04,162.143831
51D_50,1,"(110,)",0.5,0.04,356.2645355
27X_42,2,"(120,)",0.7,0.05,434.7688036
32X_76,2,"(140,)",0.4,0.06,779.7937026
41A_22,2,"(130,)",0.4,0.07,366.0511795
27X_43,1,"(80,)",0.4,0.07,398.980759
15D_62,1,"(70,)",0.7,0.06,360.364487
32X_77,1,"(130,)",0.8,0.06,358.6428611
25X_11,2,"(130,)",0.7,0.06,618.1066896
46E_94,2,"(70,)",0.8,0.06,427.7808785
25X_10,1,"(120,)",0.7,0.06,406.109021
41X_121,1,"(100,)",0.7,0.07,527.9798527
14C_17,1,"(130,)",0.8,0.03,169.1601122
118_4,2,"(110,)",0.8,0.06,562.1096081
7D_120,1,"(120,)",0.7,0.07,517.5825086
38D_68,1,"(100,)",0.4,0.04,436.9608866
68X_88,2,"(80,)",0.8,0.06,817.2202937
116_3,2,"(80,)",0.6,0.07,914.6897509
69X_60,2,"(100,)",0.4,0.03,517.4875982
69X_59,1,"(120,)",0.7,0.07,388.1288504
33D_61,1,"(120,)",0.4,0.03,354.0333167
33D_62,2,"(130,)",0.7,0.05,421.9233204
51X_64,2,"(130,)",0.8,0.07,659.8921509
7D_123,2,"(50,)",0.7,0.07,686.7446565
77X_61,2,"(100,)",0.4,0.07,749.6555691
116_1,1,"(100,)",0.4,0.07,490.5201556
38D_61,2,"(130,)",0.8,0.02,573.1643282
15D_63,2,"(70,)",0.4,0.05,680.6062942
42D_51,2,"(120,)",0.7,0.05,414.5324394
70D_71,2,"(110,)",0.7,0.06,430.6788752
70D_70,1,"(140,)",0.6,0.04,461.6220365
31D_50,1,"(70,)",0.8,0.05,319.6999241
42D_50,1,"(60,)",0.8,0.04,329.7508087
31D_51,2,"(90,)",0.4,0.04,398.781234
16D_30,1,"(110,)",0.6,0.04,1381.844444
