model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
MLP,test,41C_79,331.93656579506484,189365.9409246284,435.16197090810726,0.09128667493753892,0.5183074650258994,329.0248773819125,419.85645526613814,0.11002308400152236
MLP,test,76_36,326.41686594790866,174579.77315726166,417.8274442365672,0.11551262009691443,0.610480508969554,327.64015701375916,535.201829616924,0.17023501846569536
MLP,test,31_18,226.89913328054814,84481.77683138892,290.6574905819372,0.0925371054179155,0.5343595281954132,224.00173214782325,266.52234957020056,0.104799173206255
MLP,test,76_37,227.06438815150617,92980.74899623284,304.9274487418816,0.08395243719154212,0.6544866597384367,232.55427643787976,306.3575757575758,0.10766729873681895
MLP,test,79_10,189.61237404544568,60915.504174984,246.81066462976028,0.09886698338047963,0.5296565139589375,189.643112207373,225.1371615590598,0.10965835599884635
MLP,test,79_11,227.06354381547902,85944.75522662538,293.1633592839074,0.0960134654475643,0.5015152146953221,236.4756904823163,346.7671314150104,0.13680713053354085
MLP,test,31_15,252.84421136964914,101417.91464900556,318.46179464577153,0.0898302758169478,0.5474861150283229,255.60991741522872,310.2882637628554,0.10541122221752292
MLP,test,49_27,271.7319627546022,128626.2204271114,358.6449782544172,0.0845661123906181,0.699438680673592,289.76084838996604,347.5321044546851,0.10379150108156703
MLP,test,49_28,393.1017817754401,263766.04894480266,513.5815893748555,0.11001421133045207,0.513447387359446,392.9499677079936,606.3073524771221,0.1559369324869392
MLP,test,17A_17,358.4382145061356,210766.68815292526,459.09333272541136,0.08231674504749345,0.3575061515888611,354.4205913885777,437.9723333333333,0.09594913255055743
MLP,test,17A_15,365.27981516074254,214178.7380611395,462.79448793296956,0.08299640220649726,0.41489492025961305,365.44279945979025,435.91398577717575,0.09403362753714868
MLP,test,122_18,315.045529237924,157591.51609266922,396.977979354862,0.07911332458754887,0.5082116517023713,319.088045664691,459.366285119667,0.1095159908373746
MLP,test,27A_5,183.7320293534996,56332.33519489594,237.34433887265132,0.09206413416201432,0.48879641702780097,184.06067807016944,238.14225053078556,0.11217656347144624
MLP,test,27A_4,161.45869800819975,43808.82426337756,209.30557628352275,0.08818048068257286,0.625376604936605,163.18979998773497,194.48596112311014,0.10172093120036828
MLP,test,122_20,320.80164791765776,162218.54849956965,402.76363850224817,0.0781314607095906,0.5339002217681837,326.992859805432,485.78808419550484,0.11168190263685858
MLP,test,102_8,271.0114643765898,122595.3534286611,350.1361926860191,0.07754825134501346,0.5031754782657412,279.62626295784355,338.4297994269341,0.09286484894944758
MLP,test,54A_12,364.43190164837887,219789.05482118615,468.81665373702987,0.09930958617812374,0.5546449504135121,374.00350179106175,545.3253851797506,0.1388740762990008
MLP,test,13_67,443.54268193188096,339778.20969686034,582.9049748431217,0.07245861873799163,0.4676147253592712,458.3183842506243,556.3790706183681,0.08771851176222743
MLP,test,54A_11,279.97627453914595,136412.9927853787,369.3412958029182,0.08272432581458758,0.5545539029147994,274.8375971813107,340.49092928544985,0.09768827070109745
MLP,test,102_9,264.78160942470953,112826.46913654574,335.8965155171243,0.0784076555540932,0.5496755396501922,268.41284459647284,332.4337260677467,0.09567262820553511
MLP,test,79A_27,170.4601300341417,46916.68451425451,216.60259581605783,0.08561434975572427,0.4582742387962242,173.35664316998083,238.0377286585366,0.11377090535834403
MLP,test,38_14,484.8171106669992,371291.13065714226,609.3366316389835,0.1112694416554804,0.571366079639595,472.77368113204466,614.5458579881657,0.1293138379257024
