model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
RFR,test,236_10,163.4584090909091,44597.98932613636,211.18236035743223,0.0786092856179544,0.0740232467661011,159.37512584733275,393.5113636363636,0.1859090033121011
RFR,test,236_9,114.61156565656566,21105.385216666666,145.2769259609614,0.0604105718270607,0.3048124114761401,120.3225606060606,571.7020202020202,0.2959853020998287
RFR,test,238_11,150.80157624633432,37980.24123115836,194.8852001337156,0.0913738394197698,0.4663055372996497,150.11544876267848,225.983137829912,0.1280996057427238
RFR,test,238_15,145.26455018587362,35129.79533650558,187.42944095447112,0.091615984582285,0.4260113084965452,145.21293209507883,289.48624535315986,0.1689518409875975
RFR,test,239_26,343.8815740740741,223399.3081867284,472.6513600813272,0.1177467831325301,0.5778347715799297,339.6058715629591,732.7890946502058,0.2183923721776113
RFR,test,239_28,398.5079821073559,259727.6862388668,509.63485579272026,0.1334096077740189,0.2225945610663982,412.4916996285339,666.8429423459245,0.195146943593626
RFR,test,25A_270,265.3041095470612,124201.06730312842,352.4217179787994,0.0792972421072295,0.6762846334317643,263.0634782746106,345.71431782423014,0.1000019380251812
RFR,test,25A_273,284.83296822297604,133753.4635141421,365.7232061465913,0.0893581884800013,0.6124411743829294,278.5688656526301,368.4909857176305,0.1091297809494128
RFR,test,25B_271,298.3257478635072,154766.8897096567,393.4042319417226,0.0829891128446569,0.6483239560948229,298.07490973562403,381.8040177528615,0.1019752916298949
RFR,test,25B_274,271.1655602562968,122461.95377079112,349.94564402316985,0.0814484347317136,0.6024066915071626,272.1036602717081,372.361216730038,0.1057991995411047
RFR,test,25D_275,549.2190813250096,470990.0694197638,686.2871625054368,0.1471799075145773,-0.0744099580695667,496.9630606782106,498.0914634146341,0.1276751230086218
RFR,test,25D_277,297.9974022988506,145419.80221465082,381.3394842062002,0.0848021806084958,0.0552651424078632,295.9733641467763,381.7112068965517,0.103657417857886
RFR,test,25X_10,322.3059633027523,162417.38677706427,403.01040529627056,0.0675436154359936,0.2724114236582776,345.68289079147644,515.5412844036697,0.1043539011288936
RFR,test,25X_11,226.4813725490196,88315.87351960783,297.17986728513057,0.0517997498456321,0.4596973634983301,268.6321978609626,409.2941176470589,0.0918832105683984
RFR,test,25_269,223.4514810205352,92354.16086328564,303.8982738734882,0.0820160896007393,0.6657339894722201,224.1497927170868,305.29371499688864,0.1069051582133821
RFR,test,25_272,291.9500743745773,140520.73637944556,374.8609560616384,0.10071371123491,0.5867296030233025,296.2048777977986,383.2163624070318,0.1234300275758496
RFR,test,26_28,226.74180314896392,88437.17272048524,297.3838810703856,0.1092313393873135,0.3587759746798853,219.8100184934948,295.02863436123346,0.1338066481496677
RFR,test,26_29,226.32167304732693,89096.0945225711,298.4896891394594,0.1070221329246349,0.5543897132453999,213.2402656320561,402.2300070771408,0.1754465611321025
RFR,test,270_42,196.59860164512332,62587.25573254994,250.17445059907683,0.142424202382925,0.3462841421175621,200.86731568732569,300.4782608695652,0.1901107767847637
RFR,test,270_44,206.07405026300407,61998.578884278206,248.9951382743812,0.1456711904316318,0.1093906858972978,205.5200611959346,251.23495032144945,0.1608491628991581
RFR,test,27A_4,170.17551711577357,49054.514747341294,221.48253824475933,0.0921073061805638,0.580519012622788,166.6662369409398,194.48596112311012,0.1017209312003682
RFR,test,27A_5,187.8974035264688,59537.43713439657,244.0029449297622,0.0926258941611052,0.4597108201038459,182.0310241864548,238.1422505307856,0.1121765634714462
RFR,test,27B_23,251.4941757960247,104096.84064264524,322.6404200385396,0.0928696266140666,0.4713277669337929,250.92604953946383,298.0688474705211,0.1078084490369019
RFR,test,27B_34,241.12399490103596,98512.42261859716,313.8668867825932,0.0827235537095619,0.4496230331775461,233.4053523302613,300.7206420726556,0.0984612446892296
RFR,test,27X_42,322.24993006993003,164236.72230909087,405.2613012725134,0.0762718035020341,0.1934255570947404,344.23638521836506,434.5664335664336,0.0974830167441505
RFR,test,27X_43,348.1829258658009,188824.06040402525,434.5389055125274,0.0813848407769019,0.2702926666042647,334.5402428835771,530.3333333333334,0.1195967978621659
RFR,test,27_17,543.9728681271318,469216.7279823878,684.9939620043288,0.0900586386083487,0.4371767602437123,532.9179249915317,674.2375840847288,0.1049390883828974
RFR,test,27_19,481.8161988293575,379534.3638139096,616.0636037081802,0.0800405360086834,0.5740777732595927,479.6567974038432,629.3153377630122,0.0989012445925213
RFR,test,29A_14,216.6404525983188,78346.86482353276,279.9050996740373,0.0892658041474793,0.582274001489416,209.8397258454121,254.19195767195768,0.1008970611519504
RFR,test,29A_15,233.1745560935821,89529.66925587344,299.2150886166562,0.0933223804650045,0.5769762984132142,232.5079225435296,260.23270951993493,0.1004187450864933
RFR,test,31A_25,281.96207217695,133899.54675972063,365.922869959942,0.0802044764595909,0.2889190960372542,282.83499257374393,406.8626309662398,0.1125310434620927
RFR,test,31A_26,234.19175871503307,90453.07182174308,300.75417174453804,0.0761907680025975,0.3826588122033121,245.39128694068876,319.7993273542601,0.0997656271681033
RFR,test,31B_44,294.39628571428574,135177.53658,367.6649787238376,0.0827124119249816,0.0266282033018527,298.3749571428572,346.6047619047619,0.0943911340338008
RFR,test,31B_46,340.1566964831804,184170.0580597996,429.1503909584606,0.1019717505357401,0.2545922931585587,329.0251802638661,464.2660550458716,0.1352096054190787
RFR,test,31D_50,246.75166666666664,91986.89152407405,303.2934083096335,0.1138697299225911,0.1575208311712193,237.8559301587302,358.7407407407408,0.1647163665844147
RFR,test,31D_51,325.1550943396227,167420.29101509438,409.1702469817354,0.1421714413101364,0.020935042806783,381.9576888888889,377.0943396226415,0.1680756461322566
RFR,test,31_15,265.81180588728,112205.84863513232,334.9714146537467,0.0944446916056802,0.499351720471157,256.38650301874725,310.2882637628554,0.1054112222175229
RFR,test,31_18,241.7453388634607,96356.44551657772,310.4133462281829,0.098542314312239,0.4689095987966736,224.3005252022625,266.52234957020056,0.104799173206255
RFR,test,32X_76,311.81623376623384,133499.7802506494,365.3762174124767,0.0568782083991367,0.2317823993497954,308.33726168929104,430.2857142857143,0.0765793127587606
RFR,test,32X_77,303.2988022857144,134820.77659665488,367.1794882569761,0.0563921890112009,0.2359854828520424,311.7366372346529,413.336,0.0751294726807662
RFR,test,32_57,264.69555326858347,119352.80700866932,345.474755964411,0.0877437222877666,0.5977055090293868,261.979228876036,336.5470508779829,0.108267530454563
RFR,test,32_58,210.19941656330204,72963.93567272315,270.1183734452789,0.0794935608631144,0.6241258009879804,209.382486894077,283.0227471566054,0.104234451065749
RFR,test,33A_22,209.8089247311828,72932.46920666666,270.06012146680723,0.0597758517161726,0.3939774102462857,211.68731078400668,623.6344086021505,0.1681644294025236
RFR,test,33A_25,216.14309978768577,78832.1308225053,280.7706017775104,0.0651025450789558,0.5442821483898599,216.9053282391486,1073.2929936305732,0.3150213854867006
RFR,test,33B_56,137.15596276008287,32530.198281474724,180.36129928971656,0.0888276804989266,0.2854649360963792,137.6939214951422,182.76079228034536,0.1119276281371108
RFR,test,33B_58,299.8772126258573,154439.24528359852,392.98758922337294,0.1572791572786321,0.0604787268387405,292.08746883581694,407.3508682328907,0.1842816685699051
RFR,test,33D_61,237.36775,92963.69484749998,304.8994831866725,0.0783252259120808,-0.1477066313442381,235.0322165242165,342.4,0.112420029879495
RFR,test,33D_62,315.9125806451613,150163.49510645162,387.5093484116888,0.0912371653713343,0.0021539908884209,283.2409857142858,585.7741935483871,0.1542187313028441
RFR,test,33E_74,300.2039999999999,97504.05099999996,312.2563866440524,0.0455096654414337,-0.1588608763904557,384.24900000000014,1261.6,0.1912411997529623
